S.,Aff. No.,Name of,Organization & address,Contact person/,Email Id/ Website,Project Details,,,,
,,"66 – 10 - 1/6, Narasanna Nagar,",,,,Sports centre 147,,,,
,,"Achutapuram Gate, Kakinada, ",,,,,,,,
,,Dist,East Godavari -533001,,,,,,,
10,331,"Nagarjuna Seva Samithi, ",,K. Jagadeesh -,jagadish.kosanam@sbi.co.in,,,,,
,,"Deendayal Hospital,",,"9290430669, ",,,,,,
,,"Nagayalunka, ",,(O) 08671 – 274338,,Mobile medical centre,,,,
,,Dist - Krishna – 521120,,,,,,,,
11,332,Grameena Vikas Sangham,,M. Narasimhulu –,gvsrajendra@gmail.com,,,,,
,,"MIG - 198, ",,9440449232,,,,,,
,,"APHB Colony, Opp. - Z. P., ",,,,,,,,
,,Srikakulam – 532001,,,,,,,,
12,334,"Simhapuri Vaidya Seva Samithi, ",,M. Guruprasad –,"jbhguruprasad@gmail.com, ",◆,,,,
,,"16/2884, Somasekharapuram,",,"8099927250, ","jayabharathhospital@gmail.com, ",200 beds multi,,,,
,,Nellore – 524003,,"(O) 0861 – 2326204, ",www.jayabharathhospital.com,"specality hospital, ",,,,
,,,,"2336838,",,10 beds tribal free,,,,
,,,,9703441144,,"hospital, free cataract",,,,
,,,,,,"operations, blood",,,,
,,,,,,"donation camps,",,,,
,,,,,,weekly medical camps,,,,
,,,,,,in rural areas,,,,
13,335,"Sewa Bharati, Vijayanagram ",,Sec. Umamaheshwar,kumarao@hotmail.com,,,,,
,,"202, Rahul Kunj, ",,Rao - 09491602830,,"1,2,4,7 ",,,,
,,"Plot No - 7, Sriniwasa Nagar,",,,,,,,,
,,"Ring Road, ",,,,No details,,,,
,,,,,,,3,,,
,,"Vijaya Nagaram - 535002,",,,,,,,,
,,Andhra Pradesh,,,,,,,,
,,"Ph: 08922 - 232129, 230517 ",,,,,,,,
14,336,"Vivekananda Medical Trust, ",,P.S.R. Murthy –,vmthospital@gmail.com,,,,,
,,"45-33- 45, Near Sangam Office",,"0891 - 2562729, ",,,,,,
,,"Akkayyapalem,",,(O),0891 - 2748353,"Mobile medical centre,",,,,
,,Visakhapatanam - 530016,,,,Vivekananda Hospital,,,,
15,337,Shri Vivekananda Maharogi,,M.Ramakrishna Rao –,mmahankali4@gmail.com,,,,,
,,"Arogya Kendram, ",,"9490168263, ",,,,,,
,,"Bommuru - 533124, ",,(O) 0883 - 6451581,,Leprosy Centre &,,,,
,,East Godavari District,,,,their rehabilitation,,,,
16,338,"Jana Sankshema Samiti, ",,M. Ramakrishna Rao -,"vijayawadarss@gmail.com, ",,,,,
,,"Madhava Sadan, Kaleswara Rao",,"9490168263,",kwchalam@gmail.com,,,,,
,,"Road, Governerpet,",,"(O) 0866-2435199,",,No details,,,,
,,Vijayawada,-520002,9989044484,,,,,,
17,339,Dr. Hedgewar Sathajayanthi,,R. Rama Rao –,vijayawadarss@gmail.com,,,,,
,,"Seva Samithi, ",,"9440978955, ",,,,,,
,,"Madhav Sadan, ",,(O) 0866–2435199,,No details,,,,
,,"Kaleswar Rao Road,",,,,,,,,
,,"Governerpet,",,,,,,,,
,,Vijayawada – 520002,,,,,,,,
18,340,"Gouthami Seva Samithi (Gosala), ",,D. Lakshmi pati Raju –,"info@annadanam.in,sarmavasu@gmai",,,,,
,,"Unguturu, ",,"9440343102, ","l.com,",www.annadanam.in,,,,
,,West Godavari Dist - 524411,,(O),"08816 - 212126,",No details,,,,
,,,,223368,,,,,,
19,341,"Seva Bharati, ",,Smt. G. Padmavalli-,sevabharatiguntur@yahoo.co.in,,,,,
,,"4-11-21, Kesavnilayam, ",,"9440144441, ",,,,,,
,,"2nd Lane Nayudupet, ",,"(O) 0863 – 2261566,",,No details,,,,
,,Guntur - 522007,,9440396838,,,,,,
20,530,Uma Educational & Technical,,S.P. Reddy –,"umamanovikasakendram@gmail.com,",,,,,
,,"Society, ",,"09848164779, ","uets1988@gmail.com, ",,,,,
,,"Uma Mano Vikasa Nagar, Behind",,(O) 2306439,www.uetsindia.org,Special School for,,,,
,,,,,,Mentally challenged &,,,,
,,,,,,,4,,,
,,"Rayudupalem, Vakalapudi",,,,their rehabilitation,,,,
,,"Panchayat, Kakinada, ",,,,,,,,
,,Dist East Godavari - 533005,,,,,,,,
21,899,Pullalarevu Audinarayana Reddy,B. Sudheendra Murty -,,"parmtrust@gmail.com, ",,,,,
,,"Memorial Trust, D.No. 5 -500,",9440565615,,www.parmtrust.org,Orphanage children,,,,
,,"Opp - 33/11, K.V.Sub Station, ",,,,"home (25 students),",,,,
,,"H.L.C. Colony, Ananthapuram - ",,,,"yoga classes,",,,,
,,515 001,,,,providing classes in,,,,
,,,,,,"Spoken English,",,,,
,,,,,,Communication Skills,,,,
,,,,,,and personality,,,,
,,,,,,development,,,,
,,,Telangana,,,,,,,
1,32,"Vaidehi Seva Samithi , ","K.Venkateshwaralu,",,"vaidehisevasamithi@gmail.com, ",,,,,
,,"Door No. 17-1-473/v/3&4,",Treasurer -,,"www.vaidehiashram.blogspot.com,",◆,,,,
,,Beside Sri Saraswati Sishu,"9440667495,",,http://www.vaidehisevasamithi.org,Balkalyan girls hostel,,,,
,,"Mandir High School, ",K.Balkrishnaiah –,,FCRA,,,,,
,,"Krishna Nagar, Saidabad, ","09440059197, ",,,,,,,
,,Hyderabad - 500059,(O),040 - 24075544,,,,,,
2,47,"Grama Bharathi, Barkatpura, ",(Pres) S.Stambadri,,"gramabharati@gmail.com,",,,,,
,,"3 - 2 - 106, Nimboliadda,","Reddy – 9440282102, ",,"www.gramabharathi.org,",◆,,,,
,,"Kachiguda, ",(O),P Karunakar Goud,www.sevabharathi.org,Shri Nagarjuna,,,,
,,Hyderabad - 500027,"(Secy) 9581730775,",,FCRA,"Avasam,",,,,
,,,9440417995,,,"Mariyalagudam,",,,,
,,,,,,Deaddiction centre,,,,
3,48,"Seva Bharathi, Hyderabad, ",Dr. Gouda Janardhan -,,"sevabharathi@gmail.com, ",,,,,
,PPS,"3 - 2 - 106/1, ","9676425444,",,"www.sevabharathi.org, ",,,,,
,,"Nimboliadda, Kachiguda, ","9440417995, ",,www.sevabharathi.blogspot.com,"Shelter in hospitals,",,,,
,,Hyderabad - 500027,"9581730775, ",,,"SHG, 5 schools, ",,,,
,,,(O) 040 - 24610056,,," 5 Chhatravas,",,,,
,,,,,,Women’s Counselling,,,,
,,,,,,"centres, Help Desks ",,,,
,,,,,,,5,,,
4,49,"Keshava Seva Samithi, ",Raghava -,,"keshavasevasamithi@yahoo.in, ",,,,,
,,"Plot. 45/1 & 3, Upparaguda,","09246265719, ",,www.sevabharathi.org,,,,,
,,"Moulali, Hyderadad - 500040",(O),040 - 27241204,,Vatsalya Sindhu,,,,
,,,,,,"affection home,",,,,
,,,,,,Madhava Vidyalayam,,,,
,,,,,,Home for destitute,,,,
,,,,,,boys,,,,
5,50,"Vandemataram Foundation, ",Y. Madhava Reddy –,,"vmfteam@gmail.com, ",,,,,
,,"1-8-522/ 7, Chikkadpally,","9440788282, ",,"www.vandemataramap.org,",,,,,
,,Hyderabad - 500020,(O),"040 - 27610388, ",www.vandemataramfoundation.blogs,No details,,,,
,,,2767 8282,,pot.in,,,,,
6,51,Ekalavya Ashramam Seva,K.Vidya Sagar Rao –,,ekalavyaashramammncl@gmail.com,,,,,
,,"Bharati, H.No. 19 - 489, Godavari","9948611341, ",,,Vanavasi Boys Hostel,,,,
,,"Road, Mancherial, ",(O),08736 - 250842,,for poor tribal children,,,,
,,Adilabad Dt - 504208,,,,,,,,
7,54,"Sri Valmiki Avasam, ",N.Madanmohan-,,"nandellymmrao@gmail.com, ",,,,,
,,"Daroor Camp Jagtial, ","9440338949, ",,srivalmikiavasam1992@gmail.com,,,,,
,,"D.No -1-4-230, ",(O),08724 - 221419,,Hostel for SC students,,,,
,,"Jawahar Road, Jagtial,",,,,,,,,
,,Dist- Karimnagar - 505327,,,,,,,,
8,213,Shri Vyasa Pratisthan Seva,Venkatram Narsaiah –,,pvrnarsaiah@yahoo.com,,,,,
,,"Sangam, Durgadevi Colony, ","09908539343, ",,,,,,,
,,"Hunter Road, ","(Off) 0870 - 2445226,",,,Shri Vyasa Avasam –,,,,
,,"Hanamakonda - 506001, ",2432039,,,hostel,,,,
,,Warangal Dist,,,,,,,,
9,333,"Bharati Bhavan Trust, ",BV Raghava Reddy –,,soyamkannarajumtech@gmail.com,,,,,
,,"c/o. B.V. Raghava Reddy, ",9490371194,,,◆,,,,
,,"Boorgampahad P.O. - 507114, ",,,,Shelter Home for flood,,,,
,,"Dist., Khammam",,,,affected villages,,,,
10,354,"Vivekananda Seva Samithi, ",E Pandari Nath -,,"sheelammallareddy@gmail.com,",,,,,
,,"Medak Road, Ramayampet, ","9866061555, ",,adithya.eluri@gmail.com,,,,,
,,Dist Medak - 502101,(Off),"9440607759, ",,Hostel for poor bright,,,,
,,,,,,,6,,,
,,,,08341 - 325243,,students,,,,
,,Arunachal Pradesh,,,,,,,,
1,53,"Seva Bharati, Arunachal",,Deepak Borde -,sevabharatiarunachal@gmail.com,,,,,
,PPS,"Pradesh, ",,"9436836035,",,,,,,
,,"Post Box - 218, TageTaki",,"9436052719, ",,"Arogya Mitra,",School,,,
,,"Building, Near Shankar Masala",,(Off),"0360 - 2246339,",,,,,
,,"Store, G - Extension, ",,2351120,,,,,,
,,Naharlagun - 791110,,,,,,,,
,,Assam South (Dakshin),,,,,,,,
1,143,"Seva Bharati, Guwahati ",,Deevesh Roy –,"sb.guwahati@yahoo.com, ",,,,,
,,"Keshav Dham, ",,"09864621779, ",www.sbpurbanchal.com,,,,,
,,"K.B. Road, Paltan Bazar, ",,(Off),0361 - 2544889,No details,,,,
,,Guwahati - 781007,,,,,,,,
2,144,"Seva Bharati, Purbanchal ",,Prof. Kamini Mohan,"sevabharatipurbanchal@gmail.com,",  ,,,,
,PPS,"Madhav Smrithi Bhawan, ",,"Sinha – 09706036580, ",www.sbpurbanchal.com,"30 Ekal Vidyalaya,",,,,
,,"No. 9, South Bye Lane No. 1, ",,(Off),"0361-2526160,","Arogya Mitra, Hostel",,,,
,,"Lachit Nagar, ",,2731668,,"for boys, Jan Jati",,,,
,,Guwahati-781007,,,,Chatravas for,boys,,,
3,328,Dr. Hedgewar,Seva Samiti,Rajkumar Das -,shivamardi@gmail.com,,,,,
,,"Tezpur Vibhag, ",,"9854523676, ",,◆,,,,
,,"Madhav Dham, ",,(Off) 0371 - 2230949,,SHG,,,,
,,"Civil Hospital Road, ",,,,,,,,
,,Tezpur -784001,,,,,,,,
4,342,Dr Hedgewar Janakalayan,,Dhananjay Kushrey –,dkusre@gmail.com,,,,,
,,"Samity, Uttar Haibargaon, ",,9435061038,,,,,,
,,Dist & Post Nagaon - 782002,,,,No details,,,,
5,343,"Seva Bharati, Meghalaya ",,Balabhau Joshi –,"sevabharatimeghalaya@gmail.com, ",,,,,
,,"i)280/24, Rhino,Last Stop, Laban,",,"09405959960, ",balabhau1@yahoo.co.in,,,,,
,,SHILLONG – 793002,,Kamleshwar Koch –,,Grama Arogya,,,,
,," (ii) Garo Hills Unit, ",,"09436306342, ",,Rakshak in 3,,,,
,,"P.O Box.No 47, TURA , ",,(Off) 0364 – 2221120,,"Districts,",Book bank,,,
,,"West Garo Hills Dist, Meghalaya",,,,"50,",Hostel for school,,,
,,,,,,"boys , 60 SHGs ",,,,
,,,,,,,7,,,
,,-794001,,,,,,,,
6,344,"Ratnapeeth Seva Samithi, ",Narveshwar Bramha –,,akbora24@yahoo.co.in,,,,,
,,"Keshav Nagar, Pramod Path, ",9957516387,,,,,,,
,,"Chapagudi Village, ",,,,No details,,,,
,,Dist Chirang – 783380,,,,,,,,
7,345,Keshava Seva Samithy Kokrajhar,Milan Ch. Paul-,,-,,,,,
,,c/o. Seva Bharati Computer,"9435720131, ",,,,,,,
,,"Prashikshan Kendra, ",(Off),9957047904,,No details,,,,
,,"Opp. State Bank, GOSSAIGAON, ",,,,,,,,
,,Distt. Kokrajhar - 783360,,,,,,,,
8,346,Shri Ramnarayan Bawri,Krishnakumar Goenka,,goenkasamrat@yahoo.in,,,,,
,,"Dharmarth Nyas, ",-9435019331,,,,,,,
,,"Bawri Trust Building, ",,,,No details,,,,
,,"Bawri Complex, ",,,,,,,,
,,"Sati Jaimati Marg, Aaongaon,",,,,,,,,
,,Guwahati -781001,,,,,,,,
9,347,"Dr Hedgewar Seva Pratishthan, ",Sunil Kulkarni -,,sunilaxom58@gmail.com,,,,,
,,"Durgabari Road, ","09435033793, ",,,,,,,
,,"Near Paradise Cinema,",(Off),"0374 - 2339349,",,No details,,,,
,,"Rangagora Road, ",9435035858,,,,,,,
,,Tinsukhia -786001,,,,,,,,
10,418,"Dr.Hedgewar Smarak Samiti, ",Haradhan Paul -,,keshabmandir@gmail.com,,,,,
,,"Keshab Mandir, ","8575810261, ",,,,,,,
,,"Sankar Chowmuhani,",(Off) 0381 - 2321339,,,Keshav Chhatravas for,,,,
,,"Krishnanagar, Agartala -1, West",,,,"boys, Vocational",,,,
,,Tripura – 799 001,,,,Training centre,,,,
11,451,Vivekananda Seva Nyas (Visen),Dr. Dilip Nath -,,nathjim@rediffmail.com,,,,,
,,"c/o. Sewa Niketan, ",9436475844,,,◆,,,,
,,"R. K. Mission Road, ",,,,Arogya Mitra,,,,
,,"Dharma Nagar - 799250, North",,,,,,,,
,,Tripura,,,,,,,,
12,933,Shubam Charitable Association,Pushpa Bajaj-,,Pushpabajaj100@gmail.com,Shubam Charitable,,,,
,,,,,,,8,,,
,,"“Gopal Giri”, Opp.Kench’s Trace",9436302721,,,Association,,,,
,,",Beat House, Rilbong, Shilong-",,,,,,,,
,,793004,,,,,,,,
,,Phone no-0364-2505770,,,,,,,,
,,Manipur,,,,,,,,
1,11,"Sewa Bharati, Manipur ",Rajen Singh –,,"rajen.kh@gmail.com,",,,,,
,,"Khwai Brahmapur, Nagamapal, ","09436890063, ",,ashokm37@gmail.com,,,,,
,,Imphal - 795001,"(Off) 0385 - 2411491,",,,No details,,,,
,,,2410027,,,,,,,
2,46,Manipur Seva Samiti,Rajen Singh –,,priyokumarmoirangthem10@gmail.co,,,,,
,PPS,"Khwai Brahmapur, ",9856239678,,m,◆ ◆,,,,
,,"Nagampal, Imphal - 795001 ",,,,Deaddiction centre,,,,
,,Assam,North,,,,,,,
1,12,Keshav Smarak Sanskriti,Abhijit Biswas –,,keshav.smarak@gmail.com,,,,,
,PPS,"Surabhi, Silchar ","09435566040, ",,,"Arogya Mitra, SHG ",,,,
,,"Keshav Niketan, Ambika Patti,",(Off),03842 - 264575,,,,,,
,,"Surendar Dhar Lane, ",,,,,,,,
,,"Mohner Gali, Silchar – 788004 ",,,,,,,,
2,466,"Keshav Smarak Nyas, ",Dinesh Tiwari –,,dkhaflong2010@gmail.com,,,,,
,,"Opp CI Hall, ",9435791687,,,,,,,
,,"Haflong - 788819, ",,,,SHG,,,,
,,Dist Dima Hasad,,,,,,,,
3,595,"Jana Kalyan Trust, ",Bharat Kumar –,,"Janakalyantrust1@gmail.com,",,,,,
,,"House No.7, Sampritee Path,",9435733027,,bharatkumar1963@gmail.com,◆,,,,
,,"Jatia, Kahilipara Road, Dispur, ",,,,Skill development,,,,
,,Guwahati – 781006,,,,mainly in – Motor,,,,
,,,,,,"driving, Sewing,",,,,
,,,,,,cutting and,,,,
,,,,,,embroidery and,,,,
,,,,,,Construction technical,,,,
,,,,,,"labour ie electrician,",,,,
,,,,,,"plumber,",mason etc,,,
,,,,,,,9,,,
,,Avadh,,,,,,,,
1,89,"Paarijaat Yuvak Samiti, ",,,Jagatjeet Singh –,parijatyuvasamiti@gmail.com,,,,
,,"Yuvak Milan Kendra, ",,,"09452281095, ",FCRA,◆,,,
,,"Post Achhechha, ",,,(Off),"9005890333, ",No details,,,
,,"Gram Daulatpur, ",,,"8874336000, ",,,,,
,,Baranbanki – 225208,,,9415087700,,,,,
2,186,Lok Bharati Uttar Pradesh,,,Brijendra Pal Singh -,"lokbharti@yahoo.com, ",,,,
,,Near,"Chaupad Hospital,",Kothi,"09415018456, ","lokbharti124@gmail.com, ",◆◆,,,
,,"No - 1, Nawal Kishore Road,",,,"(Off) 0522 - 2282536, ","www.lokbharti.wordpress.com, ",SHG,,,
,,"Hazratganj, ",,,"4065759, 2613536 ",www.lokbhartiup.com,,,,
,,Luckhnow -226001,,,,,,,,
3,221,"Sewa Bharati Avadh Prant, ",,,Lal Ram Chowdhury -,sewabhartilko@gmail.com,,,,
,PPS,"Keshav Bhavan, ",,,"9935603122, ",,,,,
,,"Model House, ",,,"9450360120, ",,No details,,,
,,Lucknow - 226001,,,(Off) 0522 - 2625641,,,,,
4,222,"Prakruti Bharati, ",,,Dr. Rajesh Dube –,biogreen35@gmail.com,,,,
,,"M-2/ 196 Sector H,",,,"9198218888, ",,,,,
,,"LDA Colony, Ashiyana, ",,,(Off) 0522 - 4013151,,No details,,,
,,"Kanpur Road, ",,,,,,,,
,,Lucknow - 226012,,,,,,,,
5,224,"Bhavu Rao Deoras Seva Nyas,",,,Dr. Devinder Pratap,bdsnyas@yahoo.co.in,,,,
,,"Saraswati Kunj, ",,,"Singh – 09335386770, ",FCRA,,,,
,,"C – 91, Niralanagar,",,,(Off),0522 - 2789406,"Pathology centre,",,,
,,Lucknow - 226020,,,,,Madhav Sewashram,,,
,,,,,,,for escorts of,,,
,,,,,,,inpatients,,,
6,590,"Patel Vidya Mandir Samiti, ",,,Mishrilal –,harish.awgp@gmail.com,,,,
,,"Bhurkura Post - Urdoli, ",,,"09044585044, ",,,,,
,,Dist Sitapur - 261141,,,(Off) 09451364644,,School for poor &,,,
,,,,,,,deprived Students,,,
7,591,"Shakti Sadhana Sansthan, ",,,Avaneendra Vikram,sshaktisadhna@gmail.com,,,,
,,"Moh. Tareenpur, ",,,"Singh – 09455442720, ",,,,,
,,,,,,,,10,,
,,"Near Idgah, Sitapur, ","(Off) 225470,",,,Deaddiction centre,,,,
,,U.P. – 261001,9335651772,,,,,,,
8,592,Pragatisheel Vaicharik,Vishwa Veer Gupta –,,"upglobalorg@gmail.com, ",,,,,
,,"Association, ",9839015686,,"mahendrastp@gmail.com,",,,,,
,,"482, Vijay Laxmi Nagar, Sitapur-",,,vishwaveer30@gmail.com,No details,,,,
,,"261001, U.P. ",,,,,,,,
9,593,Satyavadi Harishchandra,Hari Jeevan Rastogi –,,rastogi_bk@rediffmail.com,,,,,
,,"Swasthya Parikshan Samiti, ",9335914609,,,,,,,
,,"Ashirwad Bhawan, ",,,,No details,,,,
,,"Lajpat Nagar, ",,,,,,,,
,,Lucknow - 226003,,,,,,,,
10,594,Maharana Pratap Samaj Sewa,Seshnath Singh -,,maharanapratap1997@gmail.com,,,,,
,,"Evam Shikshan Sansthan, ","09415007404, ",,,◆◆,,,,
,,"Sector - I, L.D.A. Colony, ",(Off),091-522-422333,,Training of NGOs,,,,
,,"Kanpur Road, ",,,,,,,,
,,Lucknow – 226012,,,,,,,,
11,795,Jyoti Khadi Gramodyog Sewa,Yogendranath Mishra,,-,,,,,
,,"Sansthan, ","-09415150769, ",,,,,,,
,,"Gram Dhanipur, Post Bijvar, Dist",(Off),05862-271253,,,,,,
,,Sitapur - 261001,,,,No details,,,,
,,Postal Address:,,,,,,,,
,,"203, Vijay Laxmi Nagar, ",,,,,,,,
,,"Sitapur - 261001, U.P. ",,,,,,,,
12,806,"Kiran Prani Sewa Sansthan, 559",Kiranwala Chaudhary-,,kiranbala.hargaon@gmail.com,,,,,
,,"kh/27K, Sri Nagar, Shrangaar","09335154149, ",,FCRA,Protection of animals,,,,
,,"Nagar, Alambagh Dist Lucknow – ",9721694330,,,,,,,
,,226005,,,,,,,,
13,807,Sri Raja Ram Mishra Smarak,Avdesh Kumar Mishra,,avdheshkumarmishra1963@gmail.com,,,,,
,,"Shikshan Sewa Sansthan, ",-9451239322,,,,,,,
,,"Gola, Gokarnath, Khiri, Dist",,,,"Orphanage, Reading",,,,
,,"Lakhimpuri, U.P. - 226802 ",,,,"room, Health camps,",,,,
,,,,,,"Musuem, General",,,,
,,,,,,"awareness campaign,",,,,
,,,,,,,11,,,
,,,,,Yoga centre,,,,,
14,808,Unnatsheel Kisan Sewa,Satish Chandra Verma,singhvineet830@gmail.com,,,,,,
,,"Samiti,Gram Bargadiya Behta,",-9839933470,,,,,,,
,,"Post Bijholi, ",,,Agricultural coaching,,,,,
,,"Jilla - Lakhimpur, ",,,centre,,,,,
,,Khiri - 262802,,,,,,,,
15,842,"Chaitanya Seva Samiti, ",Harish Kumar Singh -,chaitanyasewasamiti7@gmail.com,,,,,,
,,"Gram Gorasi Kalan, ","09956078268,",,,,,,,
,,"PO Gadasa, ",9451462086,,"Health camp,",,,,,
,,Dist Sitapur - 261302,,,awareness,,,,,
,,,,,"programmes,",,,,,
,,,,,"education, ",,,,,
,,,,,handigraft,training,,,,
16,843,Capt Ram Narayan Singh,Upendra Singh-,caranbbkbbk@gmail.com,,,,,,
,,"Memorial Society, ",9415152609,,,,,,,
,,"C - Shiva Bhawan, ",,,"Primary School,",,,,,
,,"Civil Lines, Deva Road, ",,,"Computer Centre,",,,,,
,,"Dist Barabanki – 225201, U.P. ",,,Typing - Coaching,,,,,
,,,,,Centre,,,,,
17,844,"Gramoday Sansthan, ",Aaditya Narayan,"gramodaysansthan@rediffmail.com, ",◆◆,,,,,
,,"896, Avas Vikas Colony, ",Mishra –,FCRA,"Rural development, ",,,,,
,,"Amaniganj, ","09415039949, ",,"Literacy training ,",,,,,
,,Dist Faizabad - 224001,(Off) 05252 - 236244,,Pollution,,,,,
,,,,,"awareness,women",,,,,
,,,,,"empowerment,Health",,,,,
,,,,,"care training, yoga &",,,,,
,,,,,"meditation, Computer",,,,,
,,,,,"training , etc ",,,,,
18,845,"Janhit Gramo Udhyog Sansthan, ",Sanjay Tripathi-,sanjay_2574@yahoo.co.in,,,,,,
,,"5th Floor, YMCA Building, ",7752801201,,Rural development,,,,,
,,"Japling Road, ",,,"training, Coaching on",,,,,
,,"Dainik Jagran Chauraha, ",,,"self reliance, etc ",,,,,
,,Lucknow – 226001,,,,,,,,
19,890,People’s Action for National,Sri Bharat Bhusan -,panisansthan@rediffmail.com,,,,,,
,,,,,,,12,,,
,,"Integration (PANI), Sai Sadan,",,"09415140217, ",,,,,,
,,"530, Civil Lines, ",,"(Off) 05278 – 225175,",,National Intigration,,,,
,,"Near J.B. Polytechnic, Faizabad - ",,325167,,,,,,
,,224001,,,,,,,,
20,920,"Aarambh Welfare Foundation, ",,Prashant Singh-,"aarambhlko@gmail.com, ","Vocational training,",,,,
,,"H.No. 2, Plot No. 433/88, ",,9455555601,prashantsocialworker@gmail.com,Women & children,,,,
,,"Laxmi Vihar Colony, ",,,,"welfare awareness,",,,,
,,"Campbell Road, Balaganj, ",,,,"SHG, Health, social",,,,
,,"Lucknow - 226003, U.P. ",,,,welfare activities,,,,
21,924,"Lok Jagriti Sansthan, ",,Rajesh Tripathi -,"lokjs@rediffmail.com, ",Behavioural,,,,
,,"Head office - Swarajya Bhawan, ",,9451232090,ljsambedkernager@gmail.com,"Transformation,",,,,
,,"Vill-Pahunti, ",,,,Building community,,,,
,,"Post-Saya, Baya – Mijhoura, ",,,,ownership for,,,,
,,Dist.,"Ambedkar Nagar, ",,,promotion of,,,,
,,U.P. - 224152,,,,"education,",,,,
,,,,,,skill/capacity building,,,,
,,,,,,and sustainable,,,,
,,,,,,"livelihood, conduct",,,,
,,,,,,research and,,,,
,,,,,,"evaluation studies,",,,,
,,,,,,health care and,,,,
,,,,,,"sanitation promotion,",,,,
,,,,,,Promotion of culture,,,,
,,,,,,"and heritage, Women",,,,
,,,,,,"and child welfare,",,,,
,,,,,,handicraft and cottage,,,,
,,,,,,"industry development,",,,,
,,,,,,Providing advocacy,,,,
,,,,,,support for rights and,,,,
,,,,,,entitlement of poor,,,,
,,,,,,and socially ignored,,,,
,,,,,,sections and Minority,,,,
,,,,,,"groups, Rural",,,,
,,,,,,infrastructure,,,,
,,,,,,,13,,,
,,,,,,"development,",,,,
,,,,,,Environment,,,,
,,,,,,conservation and,,,,
,,,,,,rural infrasture,,,,
,,,,,,development,,,,
,,Bang,North,,,,,,,
1,223,Uttar Banga,"Seva Bharati, ",Sunil Shah –,"ubsbsiliguri@gmail.com,",,,,,
,PPS,"Madhav Bhawan, ",,"09434019247, ",halder.mukulrng7@gmail.com,,,,,
,,"39, Balai Dass Chatterji Marg,",,(Off),0353 – 2530528,No details,,,,
